21 21 21
2 2 2 0.0226514
2 2 3 0.0191440
2 2 4 0.0161930
2 2 5 0.0138488
2 2 6 0.0120093
2 2 7 0.0105567
2 2 8 0.0093941
2 2 9 0.0084489
2 2 10 0.0076689
2 3 0 0.0220752
2 3 1 0.0211577
2 3 2 0.0191440
2 3 3 0.0168521
2 3 4 0.0147176
2 3 5 0.0128858
2 3 6 0.0113639
2 3 7 0.0101106
2 3 8 0.0090762
2 3 9 0.0082160
2 3 10 0.0074939
2 4 0 0.0178426
2 4 1 0.0173652
2 4 2 0.0161930
2 4 3 0.0147176
2 4 4 0.0132183
2 4 5 0.0118366
2 4 6 0.0106217
2 4 7 0.0095763
2 4 8 0.0086836
2 4 9 0.0079215
2 4 10 0.0072686
2 5 0 0.0148296
2 5 1 0.0145593
2 5 2 0.0138488
2 5 3 0.0128858
2 5 4 0.0118366
2 5 5 0.0108085
2 5 6 0.0098570
2 5 7 0.0090031
2 5 8 0.0082488
2 5 9 0.0075871
2 5 10 0.0070077
2 6 0 0.0126262
2 6 1 0.0124613
2 6 2 0.0120093
2 6 3 0.0113639
2 6 4 0.0106217
2 6 5 0.0098570
2 6 6 0.0091172
2 6 7 0.0084275
2 6 8 0.0077986
2 6 9 0.0072320
2 6 10 0.0067248
2 7 0 0.0109650
2 7 1 0.0108578
2 7 2 0.0105567
2 7 3 0.0101106
2 7 4 0.0095763
2 7 5 0.0090031
2 7 6 0.0084275
2 7 7 0.0078729
2 7 8 0.0073521
2 7 9 0.0068713
2 7 10 0.0064316
2 8 0 0.0096764
2 8 1 0.0096031
2 8 2 0.0093941
2 8 3 0.0090762
2 8 4 0.0086836
2 8 5 0.0082488
2 8 6 0.0077986
2 8 7 0.0073521
2 8 8 0.0069222
2 8 9 0.0065160
2 8 10 0.0061373
2 9 0 0.0086515
2 9 1 0.0085994
2 9 2 0.0084489
2 9 3 0.0082160
2 9 4 0.0079215
2 9 5 0.0075871
2 9 6 0.0072320
2 9 7 0.0068713
2 9 8 0.0065160
2 9 9 0.0061736
2 9 10 0.0058484
2 10 0 0.0078188
2 10 1 0.0077804
2 10 2 0.0076689
2 10 3 0.0074939
