Refractive index of gold (Made on 10-13-21)
1 2 3 0 0 = specifies whether N or epsilon are read in (see manual)
lambda [um]	n	k
0.517	0.67679	2.02896
0.518	0.66180	2.04170
0.519	0.64735	2.05459
0.520	0.63350	2.06760
0.521	0.62027	2.08072
0.522	0.60771	2.09393
0.523	0.59580	2.10721
0.524	0.58452	2.12057
0.525	0.57383	2.13398
0.526	0.56371	2.14746
0.527	0.55414	2.16099
0.528	0.54509	2.17457
0.529	0.53653	2.18818
0.530	0.52844	2.20183
0.531	0.52079	2.21550
0.532	0.51355	2.22920
0.533	0.50670	2.24291
0.534	0.50022	2.25663
0.535	0.49407	2.27035
0.536	0.48823	2.28406
0.537	0.48268	2.29777
0.538	0.47738	2.31146
0.539	0.47232	2.32512
0.540	0.46746	2.33875
0.541	0.46278	2.35235
0.542	0.45826	2.36591
0.543	0.45386	2.37942
0.544	0.44956	2.39287
0.545	0.44534	2.40626
0.546	0.44117	2.41959
0.547	0.43702	2.43284
0.548	0.43287	2.44601
0.549	0.42868	2.45910
0.550	0.42445	2.47210
0.551	0.42018	2.48501
0.552	0.41588	2.49783
0.553	0.41154	2.51058
0.554	0.40717	2.52326
0.555	0.40277	2.53586
0.556	0.39836	2.54839
0.557	0.39393	2.56085
0.558	0.38949	2.57326
0.559	0.38504	2.58560
0.560	0.38059	2.59789
0.561	0.37614	2.61012
0.562	0.37169	2.62231
0.563	0.36725	2.63445
0.564	0.36283	2.64655
0.565	0.35843	2.65861
0.566	0.35405	2.67063
0.567	0.34970	2.68263
0.568	0.34537	2.69459
0.569	0.34109	2.70653
0.570	0.33684	2.71844
0.571	0.33264	2.73034
0.572	0.32849	2.74222
0.573	0.32439	2.75409
0.574	0.32035	2.76595
0.575	0.31637	2.77780
0.576	0.31245	2.78966
0.577	0.30861	2.80151
0.578	0.30484	2.81337
0.579	0.30114	2.82524
0.580	0.29754	2.83712
0.581	0.29402	2.84901
0.582	0.29059	2.86093
0.583	0.28725	2.87286
0.584	0.28401	2.88481
0.585	0.28087	2.89678
0.586	0.27781	2.90877
0.587	0.27483	2.92077
0.588	0.27194	2.93277
0.589	0.26913	2.94478
0.590	0.26639	2.95680
0.591	0.26372	2.96882
0.592	0.26113	2.98083
0.593	0.25860	2.99284
0.594	0.25613	3.00485
0.595	0.25373	3.01684
0.596	0.25138	3.02883
0.597	0.24909	3.04079
0.598	0.24684	3.05274
0.599	0.24465	3.06467
0.600	0.24250	3.07657
0.601	0.24039	3.08845
0.602	0.23833	3.10030
0.603	0.23629	3.11212
0.604	0.23429	3.12391
0.605	0.23232	3.13565
0.606	0.23038	3.14736
0.607	0.22846	3.15903
0.608	0.22656	3.17065
0.609	0.22468	3.18222
0.610	0.22281	3.19374
0.611	0.22095	3.20521
0.612	0.21910	3.21663
0.613	0.21726	3.22798
0.614	0.21542	3.23928
0.615	0.21357	3.25051
0.616	0.21173	3.26167
0.617	0.20987	3.27277
0.618	0.20801	3.28379
0.619	0.20613	3.29474
0.620	0.20425	3.30563
0.621	0.20237	3.31645
0.622	0.20048	3.32720
0.623	0.19858	3.33788
0.624	0.19669	3.34851
0.625	0.19479	3.35907
0.626	0.19290	3.36957
0.627	0.19101	3.38001
0.628	0.18912	3.39039
0.629	0.18724	3.40072
0.630	0.18537	3.41100
0.631	0.18350	3.42122
0.632	0.18164	3.43138
0.633	0.17980	3.44150
0.634	0.17797	3.45157
0.635	0.17615	3.46159
0.636	0.17435	3.47157
0.637	0.17257	3.48150
0.638	0.17080	3.49139
0.639	0.16906	3.50123
0.640	0.16733	3.51104
0.641	0.16563	3.52080
0.642	0.16396	3.53053
0.643	0.16231	3.54022
0.644	0.16069	3.54988
0.645	0.15909	3.55950
0.646	0.15753	3.56909
0.647	0.15599	3.57865
0.648	0.15449	3.58818
0.649	0.15303	3.59769
0.650	0.15160	3.60716
0.651	0.15021	3.61662
0.652	0.14886	3.62605
0.653	0.14754	3.63545
0.654	0.14627	3.64484
0.655	0.14504	3.65421
0.656	0.14386	3.66356
0.657	0.14272	3.67289
0.658	0.14163	3.68221
0.659	0.14059	3.69151
0.660	0.13960	3.70080
0.661	0.13866	3.71008
0.662	0.13777	3.71935
0.663	0.13693	3.72861
0.664	0.13613	3.73786
0.665	0.13538	3.74709
0.666	0.13468	3.75632
0.667	0.13402	3.76553
0.668	0.13340	3.77473
0.669	0.13282	3.78392
0.670	0.13229	3.79309
0.671	0.13179	3.80226
0.672	0.13133	3.81141
0.673	0.13091	3.82056
0.674	0.13052	3.82969
0.675	0.13017	3.83881
0.676	0.12986	3.84792
0.677	0.12957	3.85701
0.678	0.12932	3.86610
0.679	0.12909	3.87517
0.680	0.12890	3.88423
0.681	0.12873	3.89328
0.682	0.12859	3.90231
0.683	0.12847	3.91134
0.684	0.12838	3.92035
0.685	0.12831	3.92935
0.686	0.12827	3.93834
0.687	0.12824	3.94732
0.688	0.12824	3.95628
0.689	0.12825	3.96524
0.690	0.12828	3.97418
0.691	0.12833	3.98311
0.692	0.12839	3.99202
0.693	0.12847	4.00093
0.694	0.12856	4.00982
0.695	0.12866	4.01870
0.696	0.12877	4.02757
0.697	0.12889	4.03643
0.698	0.12902	4.04527
0.699	0.12916	4.05410
0.700	0.12930	4.06292
0.701	0.12945	4.07173
0.702	0.12960	4.08052
0.703	0.12976	4.08930
0.704	0.12991	4.09807
0.705	0.13007	4.10683
0.706	0.13022	4.11557
0.707	0.13038	4.12430
0.708	0.13053	4.13302
0.709	0.13069	4.14173
0.710	0.13085	4.15043
0.711	0.13100	4.15911
0.712	0.13116	4.16779
0.713	0.13131	4.17645
0.714	0.13147	4.18510
0.715	0.13163	4.19374
0.716	0.13179	4.20238
0.717	0.13195	4.21100
0.718	0.13211	4.21961
0.719	0.13227	4.22821
0.720	0.13243	4.23680
0.721	0.13260	4.24538
0.722	0.13276	4.25395
0.723	0.13293	4.26251
0.724	0.13310	4.27106
0.725	0.13327	4.27961
0.726	0.13344	4.28814
0.727	0.13361	4.29667
0.728	0.13379	4.30519
0.729	0.13397	4.31370
0.730	0.13415	4.32220
0.731	0.13433	4.33069
0.732	0.13451	4.33918
0.733	0.13470	4.34766
0.734	0.13489	4.35613
0.735	0.13509	4.36459
0.736	0.13528	4.37305
0.737	0.13548	4.38150
0.738	0.13568	4.38995
0.739	0.13589	4.39838
0.740	0.13610	4.40681
0.741	0.13631	4.41524
0.742	0.13652	4.42366
0.743	0.13674	4.43207
0.744	0.13697	4.44048
0.745	0.13719	4.44889
0.746	0.13742	4.45729
0.747	0.13766	4.46568
0.748	0.13790	4.47407
0.749	0.13814	4.48245
0.750	0.13839	4.49083
0.751	0.13864	4.49921
0.752	0.13889	4.50758
0.753	0.13916	4.51595
0.754	0.13942	4.52431
0.755	0.13969	4.53267
0.756	0.13997	4.54103
0.757	0.14025	4.54938
0.758	0.14053	4.55774
0.759	0.14082	4.56608
0.760	0.14112	4.57443
0.761	0.14142	4.58277
0.762	0.14172	4.59111
0.763	0.14203	4.59945
0.764	0.14234	4.60779
0.765	0.14265	4.61612
0.766	0.14297	4.62445
0.767	0.14329	4.63278
0.768	0.14362	4.64110
0.769	0.14394	4.64943
0.770	0.14427	4.65775
0.771	0.14461	4.66607
0.772	0.14494	4.67438
0.773	0.14528	4.68270
0.774	0.14561	4.69101
0.775	0.14595	4.69933
0.776	0.14629	4.70764
0.777	0.14664	4.71595
0.778	0.14698	4.72425
0.779	0.14732	4.73256
0.780	0.14767	4.74086
0.781	0.14801	4.74917
0.782	0.14836	4.75747
0.783	0.14870	4.76577
0.784	0.14905	4.77407
0.785	0.14939	4.78237
0.786	0.14974	4.79067
0.787	0.15008	4.79897
0.788	0.15043	4.80727
0.789	0.15077	4.81557
0.790	0.15111	4.82386
0.791	0.15145	4.83216
0.792	0.15178	4.84045
0.793	0.15212	4.84875
0.794	0.15245	4.85705
0.795	0.15278	4.86534
0.796	0.15311	4.87364
0.797	0.15344	4.88193
0.798	0.15376	4.89023
0.799	0.15408	4.89852
0.800	0.15440	4.90682
0.801	0.15471	4.91511
0.802	0.15502	4.92341
0.803	0.15533	4.93171
0.804	0.15563	4.94001
0.805	0.15593	4.94830
0.806	0.15622	4.95660
0.807	0.15651	4.96490
0.808	0.15679	4.97320
0.809	0.15707	4.98151
0.810	0.15735	4.98981
0.811	0.15761	4.99811
0.812	0.15788	5.00642
0.813	0.15813	5.01473
0.814	0.15838	5.02303
0.815	0.15863	5.03134
0.816	0.15887	5.03965
0.817	0.15910	5.04797
0.818	0.15932	5.05628
0.819	0.15954	5.06460
0.820	0.15975	5.07291
0.821	0.15996	5.08123
0.822	0.16015	5.08956
0.823	0.16034	5.09788
0.824	0.16052	5.10620
0.825	0.16070	5.11453
0.826	0.16087	5.12286
0.827	0.16103	5.13119
0.828	0.16119	5.13952
0.829	0.16134	5.14784
0.830	0.16148	5.15617
0.831	0.16162	5.16450
0.832	0.16175	5.17283
0.833	0.16188	5.18116
0.834	0.16201	5.18949
0.835	0.16213	5.19781
0.836	0.16224	5.20614
0.837	0.16236	5.21446
0.838	0.16246	5.22278
0.839	0.16257	5.23110
0.840	0.16267	5.23941
0.841	0.16277	5.24773
0.842	0.16287	5.25604
0.843	0.16296	5.26434
0.844	0.16306	5.27265
0.845	0.16315	5.28095
0.846	0.16324	5.28924
0.847	0.16332	5.29753
0.848	0.16341	5.30582
0.849	0.16350	5.31410
0.850	0.16358	5.32238
0.851	0.16367	5.33065
0.852	0.16375	5.33892
0.853	0.16384	5.34718
0.854	0.16392	5.35543
0.855	0.16401	5.36368
0.856	0.16409	5.37192
0.857	0.16418	5.38016
0.858	0.16427	5.38839
0.859	0.16436	5.39661
0.860	0.16446	5.40482
0.861	0.16455	5.41302
0.862	0.16465	5.42122
0.863	0.16475	5.42941
0.864	0.16485	5.43759
0.865	0.16496	5.44576
0.866	0.16507	5.45393
0.867	0.16518	5.46208
0.868	0.16530	5.47022
0.869	0.16542	5.47836
0.870	0.16555	5.48648
0.871	0.16568	5.49459
0.872	0.16582	5.50270
0.873	0.16596	5.51079
0.874	0.16611	5.51887
0.875	0.16626	5.52694
0.876	0.16642	5.53500
0.877	0.16658	5.54305
0.878	0.16675	5.55108
0.879	0.16693	5.55910
0.880	0.16712	5.56711
0.881	0.16731	5.57511
0.882	0.16751	5.58309
0.883	0.16771	5.59106
0.884	0.16793	5.59902
0.885	0.16815	5.60696
0.886	0.16838	5.61489
0.887	0.16863	5.62280
0.888	0.16888	5.63070
0.889	0.16913	5.63859
0.890	0.16940	5.64646
0.891	0.16968	5.65431
0.892	0.16997	5.66215
0.893	0.17027	5.66998
0.894	0.17057	5.67778
0.895	0.17089	5.68557
0.896	0.17122	5.69335
0.897	0.17156	5.70111
0.898	0.17191	5.70886
0.899	0.17226	5.71659
0.900	0.17263	5.72431
0.901	0.17300	5.73202
0.902	0.17339	5.73971
0.903	0.17378	5.74739
0.904	0.17418	5.75505
0.905	0.17459	5.76270
0.906	0.17501	5.77034
0.907	0.17543	5.77797
0.908	0.17587	5.78559
0.909	0.17631	5.79319
0.910	0.17676	5.80078
0.911	0.17721	5.80836
0.912	0.17768	5.81593
0.913	0.17815	5.82349
0.914	0.17862	5.83104
0.915	0.17911	5.83858
0.916	0.17960	5.84611
0.917	0.18010	5.85363
0.918	0.18060	5.86113
0.919	0.18111	5.86863
0.920	0.18163	5.87613
0.921	0.18215	5.88361
0.922	0.18268	5.89108
0.923	0.18321	5.89855
0.924	0.18375	5.90601
0.925	0.18429	5.91346
0.926	0.18484	5.92090
0.927	0.18539	5.92834
0.928	0.18595	5.93577
0.929	0.18651	5.94319
0.930	0.18708	5.95060
0.931	0.18765	5.95801
0.932	0.18823	5.96542
0.933	0.18881	5.97282
0.934	0.18939	5.98021
0.935	0.18998	5.98760
0.936	0.19057	5.99498
0.937	0.19116	6.00236
0.938	0.19176	6.00974
0.939	0.19236	6.01711
0.940	0.19296	6.02448
0.941	0.19357	6.03184
0.942	0.19418	6.03920
0.943	0.19479	6.04656
0.944	0.19540	6.05391
0.945	0.19602	6.06126
0.946	0.19663	6.06861
0.947	0.19725	6.07596
0.948	0.19787	6.08331
0.949	0.19849	6.09065
0.950	0.19912	6.09800
0.951	0.19974	6.10534
0.952	0.20036	6.11268
0.953	0.20099	6.12003
0.954	0.20162	6.12737
0.955	0.20224	6.13471
0.956	0.20287	6.14205
0.957	0.20350	6.14940
0.958	0.20412	6.15674
0.959	0.20475	6.16409
0.960	0.20538	6.17143
0.961	0.20600	6.17878
0.962	0.20663	6.18613
0.963	0.20725	6.19349
0.964	0.20788	6.20084
0.965	0.20850	6.20820
0.966	0.20912	6.21556
0.967	0.20974	6.22293
0.968	0.21036	6.23029
0.969	0.21098	6.23767
0.970	0.21159	6.24504
0.971	0.21221	6.25242
0.972	0.21282	6.25981
0.973	0.21342	6.26720
0.974	0.21403	6.27459
0.975	0.21463	6.28199
0.976	0.21523	6.28940
0.977	0.21583	6.29681
0.978	0.21642	6.30422
0.979	0.21702	6.31165
0.980	0.21760	6.31908
0.981	0.21819	6.32652
0.982	0.21877	6.33396
0.983	0.21934	6.34141
0.984	0.21991	6.34887
0.985	0.22048	6.35634
0.986	0.22104	6.36381
0.987	0.22160	6.37130
0.988	0.22216	6.37879
0.989	0.22271	6.38629
0.990	0.22326	6.39379
0.991	0.22380	6.40131
0.992	0.22434	6.40883
0.993	0.22488	6.41636
0.994	0.22541	6.42389
0.995	0.22594	6.43143
0.996	0.22646	6.43898
0.997	0.22698	6.44654
0.998	0.22750	6.45410
0.999	0.22802	6.46167
1.000	0.22853	6.46925
1.001	0.22904	6.47684
1.002	0.22954	6.48443
1.003	0.23005	6.49202
1.004	0.23055	6.49962
1.005	0.23105	6.50723
1.006	0.23154	6.51485
1.007	0.23203	6.52247
1.008	0.23252	6.53010
1.009	0.23301	6.53773
1.010	0.23349	6.54537
1.011	0.23398	6.55301
1.012	0.23446	6.56066
1.013	0.23493	6.56832
1.014	0.23541	6.57598
1.015	0.23588	6.58365
1.016	0.23636	6.59132
1.017	0.23683	6.59900
